Station, Shaft Number, Date-Time, Part, MeasType, WorkOrder, Diam Reading, Diam UL, Diam LL, Pass/Fail
Auto sanding - 01,1,10/4/2019 8:33,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.492,9.601,9.398,Passed
Auto sanding - 01,1,10/4/2019 8:33,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.53,9.601,9.398,Passed
Auto sanding - 01,2,10/4/2019 8:34,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.574,9.601,9.398,Passed
Auto sanding - 01,2,10/4/2019 8:34,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.525,9.601,9.398,Passed
Auto sanding - 01,3,10/4/2019 8:35,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.558,9.601,9.398,Passed
Auto sanding - 01,3,10/4/2019 8:35,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.522,9.601,9.398,Passed
Auto sanding - 01,4,10/4/2019 8:35,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.57,9.601,9.398,Passed
Auto sanding - 01,4,10/4/2019 8:35,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.515,9.601,9.398,Passed
Auto sanding - 01,5,10/4/2019 8:36,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.597,9.601,9.398,Passed
Auto sanding - 01,5,10/4/2019 8:36,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.553,9.601,9.398,Passed
Auto sanding - 01,6,10/4/2019 8:37,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.561,9.601,9.398,Passed
Auto sanding - 01,6,10/4/2019 8:37,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.466,9.601,9.398,Passed
Auto sanding - 01,7,10/4/2019 8:38,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.5,9.601,9.398,Passed
Auto sanding - 01,7,10/4/2019 8:38,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.568,9.601,9.398,Passed
Auto sanding - 01,8,10/4/2019 8:38,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.508,9.601,9.398,Passed
Auto sanding - 01,8,10/4/2019 8:38,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.567,9.601,9.398,Passed
Auto sanding - 01,9,10/4/2019 8:38,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.493,9.601,9.398,Passed
Auto sanding - 01,9,10/4/2019 8:38,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.576,9.601,9.398,Passed
Auto sanding - 01,10,10/4/2019 8:39,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.519,9.601,9.398,Passed
Auto sanding - 01,10,10/4/2019 8:39,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.57,9.601,9.398,Passed
Auto sanding - 01,11,10/4/2019 8:40,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.551,9.601,9.398,Passed
Auto sanding - 01,11,10/4/2019 8:40,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.488,9.601,9.398,Passed
Auto sanding - 01,12,10/4/2019 8:41,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.498,9.601,9.398,Passed
Auto sanding - 01,12,10/4/2019 8:41,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.561,9.601,9.398,Passed
Auto sanding - 01,13,10/4/2019 8:41,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.562,9.601,9.398,Passed
Auto sanding - 01,13,10/4/2019 8:41,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.509,9.601,9.398,Passed
Auto sanding - 01,14,10/4/2019 8:41,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.608,9.601,9.398,Failed
Auto sanding - 01,14,10/4/2019 8:41,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.503,9.601,9.398,Passed
Auto sanding - 01,15,10/4/2019 8:41,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.526,9.601,9.398,Passed
Auto sanding - 01,15,10/4/2019 8:41,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.601,9.601,9.398,Failed
Auto sanding - 01,16,10/4/2019 8:42,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.531,9.601,9.398,Passed
Auto sanding - 01,16,10/4/2019 8:42,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.575,9.601,9.398,Passed
Auto sanding - 01,17,10/4/2019 8:42,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.57,9.601,9.398,Passed
Auto sanding - 01,17,10/4/2019 8:42,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.525,9.601,9.398,Passed
Auto sanding - 01,18,10/4/2019 8:42,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.53,9.601,9.398,Passed
Auto sanding - 01,19,10/4/2019 8:42,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.556,9.601,9.398,Passed
Auto sanding - 01,20,10/4/2019 8:42,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.519,9.601,9.398,Passed
Auto sanding - 01,18,10/4/2019 8:42,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.562,9.601,9.398,Passed
Auto sanding - 01,21,10/4/2019 8:43,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.499,9.601,9.398,Passed
Auto sanding - 01,19,10/4/2019 8:43,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.559,9.601,9.398,Passed
Auto sanding - 01,20,10/4/2019 8:43,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.589,9.601,9.398,Failed
Auto sanding - 01,22,10/4/2019 8:43,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.514,9.601,9.398,Passed
Auto sanding - 01,23,10/4/2019 8:43,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.491,9.601,9.398,Passed
Auto sanding - 01,21,10/4/2019 8:43,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.548,9.601,9.398,Passed
Auto sanding - 01,24,10/4/2019 8:43,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.502,9.601,9.398,Passed
Auto sanding - 01,22,10/4/2019 8:43,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.561,9.601,9.398,Passed
Auto sanding - 01,23,10/4/2019 8:45,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.553,9.601,9.398,Passed
Auto sanding - 01,25,10/4/2019 8:45,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.516,9.601,9.398,Passed
Auto sanding - 01,26,10/4/2019 8:45,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.483,9.601,9.398,Passed
Auto sanding - 01,24,10/4/2019 8:45,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.559,9.601,9.398,Passed
Auto sanding - 01,27,10/4/2019 8:46,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.521,9.601,9.398,Passed
Auto sanding - 01,25,10/4/2019 8:46,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.543,9.601,9.398,Passed
Auto sanding - 01,28,10/4/2019 8:46,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.495,9.601,9.398,Passed
Auto sanding - 01,26,10/4/2019 8:46,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.54,9.601,9.398,Passed
Auto sanding - 01,27,10/4/2019 8:46,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.535,9.601,9.398,Passed
Auto sanding - 01,29,10/4/2019 8:46,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.499,9.601,9.398,Passed
Auto sanding - 01,30,10/4/2019 8:46,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.507,9.601,9.398,Passed
Auto sanding - 01,28,10/4/2019 8:46,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.562,9.601,9.398,Passed
Auto sanding - 01,29,10/4/2019 8:47,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.548,9.601,9.398,Passed
Auto sanding - 01,31,10/4/2019 8:47,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.484,9.601,9.398,Passed
Auto sanding - 01,32,10/4/2019 8:47,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.522,9.601,9.398,Passed
Auto sanding - 01,30,10/4/2019 8:47,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.569,9.601,9.398,Passed
Auto sanding - 01,33,10/4/2019 8:47,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.481,9.601,9.398,Passed
Auto sanding - 01,31,10/4/2019 8:47,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.551,9.601,9.398,Passed
Auto sanding - 01,32,10/4/2019 8:48,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.547,9.601,9.398,Passed
Auto sanding - 01,34,10/4/2019 8:48,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.506,9.601,9.398,Passed
Auto sanding - 01,35,10/4/2019 8:49,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.525,9.601,9.398,Passed
Auto sanding - 01,33,10/4/2019 8:49,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.563,9.601,9.398,Passed
Auto sanding - 01,36,10/4/2019 8:49,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.519,9.601,9.398,Passed
Auto sanding - 01,34,10/4/2019 8:49,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.591,9.601,9.398,Failed
Auto sanding - 01,37,10/4/2019 8:49,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.503,9.601,9.398,Passed
Auto sanding - 01,35,10/4/2019 8:49,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.562,9.601,9.398,Passed
Auto sanding - 01,38,10/4/2019 8:50,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.472,9.601,9.398,Passed
Auto sanding - 01,36,10/4/2019 8:50,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.553,9.601,9.398,Passed
Auto sanding - 01,39,10/4/2019 8:50,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.507,9.601,9.398,Passed
Auto sanding - 01,37,10/4/2019 8:50,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.547,9.601,9.398,Passed
Auto sanding - 01,40,10/4/2019 8:50,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.495,9.601,9.398,Passed
Auto sanding - 01,38,10/4/2019 8:50,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.562,9.601,9.398,Passed
Auto sanding - 01,41,10/4/2019 8:50,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.505,9.601,9.398,Passed
Auto sanding - 01,39,10/4/2019 8:50,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.559,9.601,9.398,Passed
Auto sanding - 01,42,10/4/2019 8:51,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.5,9.601,9.398,Passed
Auto sanding - 01,40,10/4/2019 8:51,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.556,9.601,9.398,Passed
Auto sanding - 01,41,10/4/2019 8:51,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.567,9.601,9.398,Passed
Auto sanding - 01,43,10/4/2019 8:51,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.509,9.601,9.398,Passed
Auto sanding - 01,44,10/4/2019 8:51,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.491,9.601,9.398,Passed
Auto sanding - 01,42,10/4/2019 8:51,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.569,9.601,9.398,Passed
Auto sanding - 01,43,10/4/2019 8:52,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.543,9.601,9.398,Passed
Auto sanding - 01,45,10/4/2019 8:52,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.483,9.601,9.398,Passed
Auto sanding - 01,44,10/4/2019 8:52,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.541,9.601,9.398,Passed
Auto sanding - 01,46,10/4/2019 8:52,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.497,9.601,9.398,Passed
Auto sanding - 01,45,10/4/2019 8:52,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.57,9.601,9.398,Passed
Auto sanding - 01,47,10/4/2019 8:52,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.524,9.601,9.398,Passed
Auto sanding - 01,48,10/4/2019 8:53,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.517,9.601,9.398,Passed
Auto sanding - 01,46,10/4/2019 8:53,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.561,9.601,9.398,Passed
Auto sanding - 01,47,10/4/2019 8:53,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.575,9.601,9.398,Passed
Auto sanding - 01,49,10/4/2019 8:53,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.509,9.601,9.398,Passed
Auto sanding - 01,50,10/4/2019 8:53,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.497,9.601,9.398,Passed
Auto sanding - 01,48,10/4/2019 8:53,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.554,9.601,9.398,Passed
Auto sanding - 01,51,10/4/2019 8:53,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.49,9.601,9.398,Passed
Auto sanding - 01,49,10/4/2019 8:53,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.539,9.601,9.398,Passed
Auto sanding - 01,50,10/4/2019 8:54,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.554,9.601,9.398,Passed
Auto sanding - 01,52,10/4/2019 8:54,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.506,9.601,9.398,Passed
Auto sanding - 01,51,10/4/2019 8:54,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.548,9.601,9.398,Passed
Auto sanding - 01,53,10/4/2019 8:54,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.501,9.601,9.398,Passed
Auto sanding - 01,54,10/4/2019 8:54,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.495,9.601,9.398,Passed
Auto sanding - 01,52,10/4/2019 8:54,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.533,9.601,9.398,Passed
Auto sanding - 01,55,10/4/2019 8:55,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.495,9.601,9.398,Passed
Auto sanding - 01,53,10/4/2019 8:55,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.565,9.601,9.398,Passed
Auto sanding - 01,56,10/4/2019 8:55,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.532,9.601,9.398,Passed
Auto sanding - 01,54,10/4/2019 8:55,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.564,9.601,9.398,Passed
Auto sanding - 01,55,10/4/2019 8:58,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.574,9.601,9.398,Passed
Auto sanding - 01,57,10/4/2019 8:58,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.527,9.601,9.398,Passed
Auto sanding - 01,56,10/4/2019 8:58,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.583,9.601,9.398,Passed
Auto sanding - 01,58,10/4/2019 8:58,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.528,9.601,9.398,Passed
Auto sanding - 01,59,10/4/2019 8:58,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.533,9.601,9.398,Passed
Auto sanding - 01,57,10/4/2019 8:58,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.57,9.601,9.398,Passed
Auto sanding - 01,58,10/4/2019 8:58,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.548,9.601,9.398,Passed
Auto sanding - 01,60,10/4/2019 8:58,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.476,9.601,9.398,Passed
Auto sanding - 01,61,10/4/2019 8:59,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.498,9.601,9.398,Passed
Auto sanding - 01,59,10/4/2019 8:59,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.564,9.601,9.398,Passed
Auto sanding - 01,60,10/4/2019 8:59,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.557,9.601,9.398,Passed
