Station, Shaft Number, Date-Time, Part, MeasType, WorkOrder, Diam Reading, Diam UL, Diam LL, Pass/Fail
Auto sanding - 01,1,10/23/2019 23:31,KMLKWS60ADCA,UPT TOD @3 MM,352773,8.53,8.59,8.43,Passed
Auto sanding - 01,1,10/23/2019 23:31,KMLKWS60ADCA,UPT TOD @ 50 MM,352773,8.58,8.69,8.51,Passed
Auto sanding - 01,1,10/23/2019 23:31,KMLKWS60ADCA,UPT TOD @ 100 MM,352773,15.5,15.44,15.09,Fail
Auto sanding - 01,2,10/23/2019 23:31,KMLKWS60ADCA,UPT TOD @3 MM,352773,8.52,8.59,8.43,Passed
Auto sanding - 01,2,10/23/2019 23:31,KMLKWS60ADCA,UPT TOD @ 50 MM,352773,8.57,8.69,8.51,Passed
Auto sanding - 01,2,10/23/2019 23:31,KMLKWS60ADCA,UPT TOD @ 100 MM,352773,15.25,15.44,15.09,Passed
Auto sanding - 01,3,10/23/2019 23:31,KMLKWS60ADCA,UPT TOD @3 MM,352773,8.54,8.59,8.43,Passed
Auto sanding - 01,3,10/23/2019 23:31,KMLKWS60ADCA,UPT TOD @ 50 MM,352773,8.6,8.69,8.51,Passed
Auto sanding - 01,3,10/23/2019 23:31,KMLKWS60ADCA,UPT TOD @ 100 MM,352773,15.25,15.44,15.09,Passed
Auto sanding - 01,4,10/23/2019 23:32,KMLKWS60ADCA,UPT TOD @3 MM,352773,8.5,8.59,8.43,Passed
Auto sanding - 01,4,10/23/2019 23:32,KMLKWS60ADCA,UPT TOD @ 50 MM,352773,8.57,8.69,8.51,Passed
Auto sanding - 01,4,10/23/2019 23:32,KMLKWS60ADCA,UPT TOD @ 100 MM,352773,15.25,15.44,15.09,Passed
Auto sanding - 01,5,10/23/2019 23:32,KMLKWS60ADCA,UPT TOD @3 MM,352773,8.52,8.59,8.51,Passed
Auto sanding - 01,5,10/23/2019 23:32,KMLKWS60ADCA,UPT TOD @ 50 MM,352773,8.57,8.69,15.09,Passed
Auto sanding - 01,5,10/23/2019 23:32,KMLKWS60ADCA,UPT TOD @ 100 MM,352773,15.25,15.44,8.43,Passed
Auto sanding - 01,1,10/23/2019 23:41,KMLKWS60ADCA,UPT TOD @3 MM,262772,8.55,8.59,8.51,Passed
Auto sanding - 01,1,10/23/2019 23:41,KMLKWS60ADCA,UPT TOD @ 50 MM,262772,8.58,8.69,8.43,Passed
Auto sanding - 01,1,10/23/2019 23:41,KMLKWS60ADCA,UPT TOD @ 100 MM,262772,15.3,15.44,15.09,Passed
Auto sanding - 01,2,10/23/2019 23:41,KMLKWS60ADCA,UPT TOD @3 MM,262772,8.52,8.59,15.09,Passed
Auto sanding - 01,2,10/23/2019 23:41,KMLKWS60ADCA,UPT TOD @ 50 MM,262772,8.57,8.69,8.43,Passed
Auto sanding - 01,2,10/23/2019 23:41,KMLKWS60ADCA,UPT TOD @ 100 MM,262772,15.25,15.44,8.51,Passed
Auto sanding - 01,3,10/23/2019 23:41,KMLKWS60ADCA,UPT TOD @3 MM,262772,8.52,8.59,8.43,Passed
Auto sanding - 01,3,10/23/2019 23:41,KMLKWS60ADCA,UPT TOD @ 50 MM,262772,8.57,8.69,8.51,Passed
Auto sanding - 01,3,10/23/2019 23:41,KMLKWS60ADCA,UPT TOD @ 100 MM,262772,15.25,15.44,15.09,Passed
Auto sanding - 01,4,10/23/2019 23:41,KMLKWS60ADCA,UPT TOD @3 MM,262772,8.52,8.59,15.09,Passed
Auto sanding - 01,4,10/23/2019 23:41,KMLKWS60ADCA,UPT TOD @ 50 MM,262772,8.57,8.69,8.43,Passed
Auto sanding - 01,4,10/23/2019 23:41,KMLKWS60ADCA,UPT TOD @ 100 MM,262772,15.25,15.44,8.51,Passed
Auto sanding - 01,5,10/23/2019 23:41,KMLKWS60ADCA,UPT TOD @3 MM,262772,8.52,8.59,8.51,Passed
Auto sanding - 01,5,10/23/2019 23:41,KMLKWS60ADCA,UPT TOD @ 50 MM,262772,8.57,8.69,8.43,Passed
Auto sanding - 01,5,10/23/2019 23:41,KMLKWS60ADCA,UPT TOD @ 100 MM,262772,15.25,15.44,15.09,Passed
