Item number,Freq Target,Diam_LL,Diam_UL,Tip OD LENGTH,Formula-G,Formula-PO
5AIL20A,231,9.29,9.45,UPT TOD @25MM,#N/A,#N/A
5AIL20A,231,9.29,9.45,UPT TOD @76MM,#N/A,#N/A
6LWR60A,251,8.46,8.56,UPT TOD @25MM,#N/A,#N/A
6LWR60A,251,8.46,8.56,UPT TOD @76MM,#N/A,#N/A
6LWX60A,281,8.46,8.56,UPT TOD @25MM,#N/A,#N/A
6LWX60A,281,8.46,8.56,UPT TOD @76MM,#N/A,#N/A
7LHR20A,271,9.35,9.45,UPT TOD @32MM,#N/A,#N/A
7LHR20A,271,9.35,9.45,UPT TOD @76MM,#N/A,#N/A
7LHS20A,286,9.35,9.45,UPT TOD @32MM,#N/A,#N/A
7LHS20A,286,9.35,9.45,UPT TOD @76MM,#N/A,#N/A
7LHX20A,301,9.35,9.45,UPT TOD @32MM,#N/A,#N/A
7LHX20A,301,9.35,9.45,UPT TOD @76MM,#N/A,#N/A
7LWS60A,266,8.46,8.56,UPT TOD @25MM,#N/A,#N/A
7LWS60A,266,8.46,8.56,UPT TOD @76MM,#N/A,#N/A
7LWX60A,281,8.46,8.56,UPT TOD @25MM,3,1
7LWX60A,281,8.46,8.56,UPT TOD @76MM,3,1
8LWY60A,284,8.46,8.56,UPT TOD @25MM,#N/A,#N/A
8LWY60A,284,8.46,8.56,UPT TOD @76MM,#N/A,#N/A
AJ072-IR-4,267,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AJ072-IR-4,267,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AJ072-IR-5,278,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AJ072-IR-5,278,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AJ072-IR-6,288,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AJ072-IR-6,288,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AJ072-IR-7,299,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AJ072-IR-7,299,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AJ072-IR-8,307,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AJ072-IR-8,307,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AJ072-IR-9,315,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AJ072-IR-9,315,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AJ072-IR-A,334,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AJ072-IR-A,334,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AJ072-IR-P,324,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AJ072-IR-P,324,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU172-IA-2,221,9.37,9.47,UPT TOD @10MM,#N/A,#N/A
AU172-IA-2,221,9.37,9.47,UPT TOD @50MM,#N/A,#N/A
AU172-IA-2,221,9.37,9.47,UPT TOD @100MM,#N/A,#N/A
AU172-IR-2,236,9.37,9.47,UPT TOD @10MM,#N/A,#N/A
AU172-IR-2,236,9.37,9.47,UPT TOD @50MM,#N/A,#N/A
AU172-IR-2,236,9.37,9.47,UPT TOD @100MM,#N/A,#N/A
AU172-IS-2,251,9.37,9.47,UPT TOD @10MM,#N/A,#N/A
AU172-IS-2,251,9.37,9.47,UPT TOD @50MM,#N/A,#N/A
AU172-IS-2,251,9.37,9.47,UPT TOD @100MM,#N/A,#N/A
AU173-IR-2,238,9.37,9.47,UPT TOD @10MM,#N/A,#N/A
AU173-IR-2,238,9.37,9.47,UPT TOD @50MM,#N/A,#N/A
AU173-IR-2,238,9.37,9.47,UPT TOD @100MM,#N/A,#N/A
AU173-IS-2,253,9.37,9.47,UPT TOD @10MM,#N/A,#N/A
AU173-IS-2,253,9.37,9.47,UPT TOD @50MM,#N/A,#N/A
AU173-IS-2,253,9.37,9.47,UPT TOD @100MM,#N/A,#N/A
AU176-IA-4,253,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IA-4,253,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IA-5,262,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IA-5,262,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IA-6,271,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IA-6,271,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IA-7,281,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IA-7,281,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IA-8,290,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IA-8,290,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IA-9,299,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IA-9,299,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IA-A,320,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IA-A,320,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IA-P,308,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IA-P,308,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IL-4,230,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IL-4,230,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IL-5,240,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IL-5,240,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IL-6,246,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IL-6,246,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IL-7,257,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IL-7,257,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IL-8,268,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IL-8,268,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IL-9,279,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IL-9,279,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IL-A,303,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IL-A,303,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IL-P,290,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IL-P,290,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IR-3,258,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IR-3,258,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IR-4,267,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IR-4,267,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IR-5,278,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IR-5,278,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IR-6,288,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IR-6,288,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IR-7,299,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IR-7,299,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IR-8,307,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IR-8,307,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IR-9,315,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IR-9,315,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IR-A,334,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IR-A,334,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IR-P,324,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IR-P,324,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IS-3,274,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IS-3,274,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IS-4,283,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IS-4,283,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IS-5,294,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IS-5,294,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IS-6,305,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IS-6,305,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IS-7,317,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IS-7,317,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IS-8,327,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IS-8,327,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IS-9,337,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IS-9,337,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IS-A,359,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IS-A,359,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU176-IS-P,345,9.01,9.11,UPT TOD @6MM,#N/A,#N/A
AU176-IS-P,345,9.22,9.32,UPT TOD @35MM,#N/A,#N/A
AU184-WS-1,285,8.45,8.55,UPT TOD @10MM,2,2
AU184-WS-1,285,8.45,8.55,UPT TOD @38MM,2,2
