Station, Shaft Number, Date-Time, WorkOrder, Part, Freq. 01 - Reading,Motor-Sanding, Freq. 02 - Reading,Motor-Polishing,Freq-Target,Formular -G,Formular -PO
Auto sanding - 1,1,10/19/2021 0:28,0751973_Tien_B3,SP400-IR-4,247.6,1450,247.6,1450,245,1,1
Auto sanding - 1,2,10/19/2021 0:31,0751973_Tien_B3,SP400-IR-4,248.1,1450,248.1,1450,245,1,1
Auto sanding - 1,3,10/19/2021 0:32,0751973_Tien_B3,SP400-IR-4,247.4,1450,247.4,1450,245,1,1
Auto sanding - 1,4,10/19/2021 0:34,0751973_Tien_B3,SP400-IR-4,247.7,1450,247.7,1450,245,1,1
Auto sanding - 1,5,10/19/2021 0:34,0751973_Tien_B3,SP400-IR-4,249.8,1450,249.8,1450,245,1,1
Auto sanding - 1,1,10/19/2021 2:19,751973,SP400-IR-4,248.1,1450,248.1,1450,245,1,1
Auto sanding - 1,2,10/19/2021 2:20,751973,SP400-IR-4,247.6,1450,247.6,1450,245,1,1
Auto sanding - 1,3,10/19/2021 2:20,751973,SP400-IR-4,246,1450,246,1450,245,1,1
Auto sanding - 1,4,10/19/2021 2:20,751973,SP400-IR-4,248.7,1450,248.7,1450,245,1,1
Auto sanding - 1,5,10/19/2021 2:21,751973,SP400-IR-4,246.9,1450,246.9,1450,245,1,1
Auto sanding - 1,1,10/19/2021 23:59,751971,SP400-IR-4,247.5,1450,247.5,1450,245,1,1
Auto sanding - 1,2,10/19/2021 23:59,751971,SP400-IR-4,246.6,1450,246.6,1450,245,1,1
Auto sanding - 1,1,10/20/2021 0:03,751971,SP400-IR-4,248.1,1450,248.1,1450,245,1,1
Auto sanding - 1,2,10/20/2021 0:11,751971,SP400-IR-4,248.8,1450,248.8,1450,245,1,1
Auto sanding - 1,3,10/20/2021 0:11,751971,SP400-IR-4,249.2,1450,249.2,1450,245,1,1
Auto sanding - 1,4,10/20/2021 0:14,751971,SP400-IR-4,249.4,1450,249.4,1450,245,1,1
Auto sanding - 1,5,10/20/2021 0:15,751971,SP400-IR-4,247.2,1450,247.2,1450,245,1,1
Auto sanding - 1,1,10/20/2021 16:26,751968,SP400-IR-4,248,1450,248,1450,245,1,1
Auto sanding - 1,2,10/20/2021 16:26,751968,SP400-IR-4,246.1,1450,246.1,1450,245,1,1
Auto sanding - 1,3,10/20/2021 16:27,751968,SP400-IR-4,249.5,1450,249.5,1450,245,1,1
Auto sanding - 1,4,10/20/2021 16:27,751968,SP400-IR-4,249.7,1450,249.7,1450,245,1,1
Auto sanding - 1,5,10/20/2021 16:28,751968,SP400-IR-4,249.8,1450,249.8,1450,245,1,1
Auto sanding - 1,2,10/28/2021 21:34,759407,SP400-IR-4,246.1,1450,246.1,1450,245,1,1
Auto sanding - 1,3,10/28/2021 21:34,759407,SP400-IR-4,248.7,1450,248.7,1450,245,1,1
